movie,movie_id,guest_names,guest_ids,count
Slither,87417,['Sally Kellerman'],[9805],1
Lost Horizon,97519,['Sally Kellerman'],[9805],1
A Reflection of Fear,104644,['Sally Kellerman'],[9805],1
Rafferty and the Gold Dust Twins,111149,['Sally Kellerman'],[9805],1
The Third Day,111919,"['Sally Kellerman', 'Charles Drake']","[9805, 15978]",2
The Wishing Well,112806,['Sally Kellerman'],[9805],1
Hands of a Stranger,114740,"['Sally Kellerman', 'George Sawaya']","[9805, 100799]",2
Three for the Road,116064,['Sally Kellerman'],[9805],1
Reform School Girl,37428,['Sally Kellerman'],[9805],1
Open House,159695,['Sally Kellerman'],[9805],1
Verdict in Blood,230132,['Sally Kellerman'],[9805],1
Someone to Love,214446,['Sally Kellerman'],[9805],1
Head On,215863,['Sally Kellerman'],[9805],1
Drop Dead Gorgeous,224507,['Sally Kellerman'],[9805],1
Paramedics,225339,['Sally Kellerman'],[9805],1
Loving Couples,242758,['Sally Kellerman'],[9805],1
All's Fair,244410,['Sally Kellerman'],[9805],1
Dempsey,278270,['Sally Kellerman'],[9805],1
Centennial,67493,['Sally Kellerman'],[9805],1
Younger and Younger,260448,['Sally Kellerman'],[9805],1
The Secret of the Ice Cave,215339,['Sally Kellerman'],[9805],1
Happily Ever After,44283,['Sally Kellerman'],[9805],1
Altman,278086,['Sally Kellerman'],[9805],1
Not for Ourselves Alone: The Story of Elizabeth Cady Stanton & Susan B. Anthony,222199,['Sally Kellerman'],[9805],1
KGB: The Secret War,342609,"['Sally Kellerman', 'Lev Mailer', 'Michael Ansara']","[9805, 1472601, 16074]",3
Sesame Street Presents Follow That Bird,36536,"['Sally Kellerman', 'Sally Kellerman']","[9805, 9805]",2
"Sex, Censorship and the Silver Screen",241506,['Sally Kellerman'],[9805],1
