Movie,count,guest_ids,guest_names,movie_id
Love Crazy,2,"[3339, 2782]","['Elisha Cook Jr.', 'Ian Wolfe']",20644
Claws,2,"[16004, 16089]","['Anthony Caruso', 'Jason Evers']",213207
Friendly Persuasion,2,"[15992, 16055]","['William Schallert', 'Richard Hale']",43258
The Steel Jungle,2,"[12295, 12431]","['Perry Lopez', 'Carey Loftin']",74861
Eighteen and Anxious,2,"[15699, 16102]","['William Campbell', 'Yvonne Craig']",208462
Shenandoah,2,"[8496, 15968]","['Paul Fix', 'Glenn Corbett']",21027
Rogue's March,2,"[24826, 16055]","['John Abbott', 'Richard Hale']",330321
The Steel Lady,2,"[24826, 16004]","['John Abbott', 'Anthony Caruso']",21377
Black Patch,2,"[7074, 1947]","['Peter Brocco', 'Stanley Adams']",214602
Big Jake,2,"[15968, 16071]","['Glenn Corbett', 'Gregg Palmer']",21717
I Was a Teenage Werewolf,2,"[83913, 13786]","['Joseph Mell', 'Whit Bissell']",43228
Arsène Lupin Returns,2,"[117771, 2782]","['John Harmon', 'Ian Wolfe']",127812
You'll Find Out,2,"[101742, 9596]","['Leonard Mudie', 'Jeff Corey']",80720
The Mechanic,2,"[15753, 15954]","['Jill Ireland', 'Celeste Yarnall']",19403
Poor Devil,2,"[127646, 2652]","['Madlyn Rhue', 'Ken Lynch']",338016
The True Story of Jesse James,2,"[30551, 41719]","['Jeffrey Hunter', 'Biff Elliot']",83354
My Favorite Brunette,2,"[14508, 16004]","['John Hoyt', 'Anthony Caruso']",18649
Up Yours,2,"[15993, 52611]","['Michael Pataki', 'Dyanne Thorne']",124880
Sands of Iwo Jima,2,"[10161, 15781]","['Richard Webb', 'Hal Baylor']",18712
The Quick Gun,2,"[16066, 16071]","['Rex Holman', 'Gregg Palmer']",125589
The Girl in the Red Velvet Swing,2,"[14508, 13637]","['John Hoyt', 'Joan Collins']",82203
Across the Pacific,2,"[16004, 16103]","['Anthony Caruso', 'Keye Luke']",18790
The Monitors,2,"[90520, 119245]","['Susan Oliver', 'Sherry Jackson']",210940
The Face of Eve,2,"[15626, 15954]","['Robert Walker, Jr.', 'Celeste Yarnall']",125784
Dragnet,2,"[15949, 151846]","['Vic Perrin', 'Willard Sage']",43334
Demetrius and the Gladiators,2,"[16028, 16097]","['William Marshall', 'Jay Robinson']",43332
The Virgin Queen,2,"[13637, 16097]","['Joan Collins', 'Jay Robinson']",43327
The Big Bus,2,"[9805, 14069]","['Sally Kellerman', 'Vic Tayback']",19133
The Man from Bitter Ridge,2,"[117771, 12310]","['John Harmon', 'Warren Stevens']",210673
Ride in a Pink Car,2,"[13869, 15968]","['Morgan Woodward', 'Glenn Corbett']",341168
Coffy,2,"[5695, 151402]","['Sid Haig', 'Booker Bradshaw']",22021
Houdini,2,"[10925, 2782]","['Torin Thatcher', 'Ian Wolfe']",43192
Madame X,2,"[101742, 1315468]","['Leonard Mudie', 'Bill Bradley']",43861
An Eye for an Eye,2,"[8496, 15661]","['Paul Fix', 'Clint Howard']",317800
Posse from Hell,2,"[15628, 6838]","['Paul Carr', 'Frank Overton']",76868
In Like Flint,2,"[16101, 16102]","['Steve Ihnat', 'Yvonne Craig']",24130
Yuma,2,"[13869, 1089676]","['Morgan Woodward', 'Kathryn Hays']",76837
Your Cheatin' Heart,2,"[90520, 16066]","['Susan Oliver', 'Rex Holman']",76283
Merchants of Venus,2,"[6451, 15988]","['Michael J. Pollard', 'Charles Dierkop']",310035
The Rise and Fall of Legs Diamond,2,"[15644, 15998]","['Karen Steele', 'Joseph Ruskin']",43046
Death Car on the Freeway,2,"[5695, 291]","['Sid Haig', 'Frank Gorshin']",216176
Tarzan and the Valley of Gold,2,"[15744, 69763]","['David Opatoshu', 'Nancy Kovack']",76081
